Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Smith's Tools,PHB,none,Artisan's Tools,,,8 lb.,20 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Smith's tools allow you to work metal, heating it to alter its shape, repair damage, or work raw ingots into useful items. Components. Smith's tools include hammers, tongs, charcoal, rags, and a whetstone. Arcana and History. Your expertise lends you additional insight when examining metal objects, such as weapons. Investigation. You can spot clues and make deductions that others might overlook when an investigation involves armor, weapons, or other metalwork. Repair. With access to your tools and an open flame hot enough to make metal pliable, you can restore 10 hit points to a damaged metal object for each hour of work.Smith's ToolsActivityDCSharpen a dull blade10Repair a suit of armor15Sunder a nonmagical metal object15See the Tool Proficiencies entry for more information."
Snowshoes,IDRotF,none,adventuring gear,,,4 lb.,2 gp,Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow.
Spear,PHB,none,"weapon, simple weapon, melee weapon",,"1d6, piercing, - thrown (20/60 ft.), versatile (1d8)",3 lb.,1 gp," Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Sprig of Mistletoe,PHB,none,spellcasting focus,,,,1 gp,A druid can use this object as a spellcasting focus.
Staff,PHB,none,"staff, weapon, spellcasting focus, simple weapon, melee weapon",,"1d6, bludgeoning, - versatile (1d8)",4 lb.,5 gp," Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Steel Mirror,PHB,none,adventuring gear,,,½ lb.,5 gp,
Studded Leather Armor,PHB,none,light armor,,AC 12 + Dex,13 lb.,45 gp,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
Sun,WDH,none,treasure,,,,10 gp,"Platinum coin, twice as large as a nib (1 sun = 1,000 nibs)"
Taol,WDH,none,treasure,,,,2 gp,"Brass coin, about two inches square with a hold large enough for a nib to fit in (1 taol = 200 nibs)"
Theki Root,EGW,none,adventuring gear,,,,3 gp,"This thick marsh root tastes bitter but is thought to aid digestive health. When you use an action to consume a dose, you gain advantage on saving throws against the effects of poisonous or toxic substances for 8 hours."
Thieves' Tools,PHB,none,tools,,,1 lb.,25 gp,"This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.Perhaps the most common tools used by adventurers, thieves' tools are designed for picking locks and foiling traps. Proficiency with the tools also grants you a general knowledge of traps and locks. Components. Thieves' tools include a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. History. Your knowledge of traps grants you insight when answering questions about locations that are renowned for their traps. Investigation and Perception. You gain additional insight when looking for traps, because you have learned a variety of common signs that betray their presence. Set a Trap. Just as you can disable traps, you can also set them. As part of a short rest, you can create a trap using items you have on hand. The total of your check becomes the DC for someone else's attempt to discover or disable the trap. The trap deals damage appropriate to the materials used in crafting it (such as poison or a weapon) or damage equal to half the total of your check, whichever the DM deems appropriate.Thieves' ToolsActivityDCPick a lockVariesDisable a trapVariesSee the Tool Proficiencies entry for more information."
Three-Dragon Ante Set,PHB,none,Gaming Set,,,,1 gp,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
Tiger Eye,DMG,none,treasure,,,,10 gp,A translucent brown with golden center gemstone.
Totem,PHB,none,spellcasting focus,,,,1 gp,A druid can use this object as a spellcasting focus.
Traveler's Clothes,PHB,none,adventuring gear,,,4 lb.,2 gp,
Trident,PHB,none,"weapon, martial weapon, melee weapon",,"1d6, piercing, - thrown (20/60 ft.), versatile (1d8)",4 lb.,5 gp," Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Turquoise,DMG,none,treasure,,,,10 gp,An opaque light blue-green gemstone.
Two-Person Tent,PHB,none,adventuring gear,,,20 lb.,2 gp,"A simple and portable canvas shelter, a tent sleeps two."
Vial,PHB,none,adventuring gear,,,,1 gp,A vial can hold up to 4 ounces of liquid.
Viol,PHB,none,Instrument,,,1 lb.,30 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Wand,PHB,none,spellcasting focus,,,1 lb.,10 gp,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
War Pick,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, piercing",2 lb.,5 gp,
Warhammer,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, bludgeoning, - versatile (1d10)",2 lb.,15 gp, Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Weaver's Tools,PHB,none,Artisan's Tools,,,5 lb.,1 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Weaver's tools allow you to create cloth and tailor it into articles of clothing. Components. Weaver's tools include thread, needles, and scraps of cloth. You know how to work a loom, but such equipment is too large to transport. Arcana, History. Your expertise lends you additional insight when examining cloth objects, including cloaks and robes. Investigation. Using your knowledge of the process of creating cloth objects, you can spot clues and make deductions that others would overlook when you examine tapestries, upholstery, clothing, and other woven items. Repair. As part of a short rest, you can repair a single damaged cloth object. Craft Clothing. Assuming you have access to sufficient cloth and thread, you can create an outfit for a creature as part of a long rest.Weaver's ToolsActivityDCRepurpose cloth10Mend a hole in a piece of cloth10Tailor an outfit15See the Tool Proficiencies entry for more information."
Whip,PHB,none,"weapon, martial weapon, melee weapon",,"1d4, slashing, - finesse, reach",3 lb.,2 gp," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
Willowshade Oil,EGW,none,adventuring gear,,,,30 gp,"A dark blue oil can be extracted from the rare fruit of the willowshade plant. A creature can use its action to apply the oil to another creature that has been petrified for less than 1 minute, causing the petrified condition on that creature to end at the start of what would be that creature's next turn."
Woodcarver's Tools,PHB,none,Artisan's Tools,,,5 lb.,1 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Woodcarver's tools allow you to craft intricate objects from wood, such as wooden tokens or arrows. Components. Woodcarver's tools consist of a knife, a gouge, and a small saw. Arcana, History. Your expertise lends you additional insight when you examine wooden objects, such as figurines or arrows. Nature. Your knowledge of wooden objects gives you some added insight when you examine trees. Repair. As part of a short rest, you can repair a single damaged wooden object. Craft Arrows. As part of a short rest, you can craft up to five arrows. As part of a long rest, you can craft up to twenty. You must have enough wood on hand to produce them.Woodcarver's ToolsActivityDCCraft a small wooden figurine10Carve an intricate pattern in wood15See the Tool Proficiencies entry for more information."
Wooden Staff,PHB,none,"weapon, spellcasting focus, simple weapon",,"1d6, bludgeoning, - versatile (1d8)",4 lb.,5 gp, Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.A druid can use this object as a spellcasting focus.
Yahcha,ToA,none,adventuring gear,,,,1 gp,"A yahcha (pronounced YAH-chah) is a harmless, meaty beetle about the size of a human hand, which feeds on worms and maggots. It moves slowly (walking speed 10 feet) and is easy to catch. A creature with blue mist fever that eats a raw or cooked yahcha can immediately make a saving throw with advantage against that disease (see ""Diseases,"" page 40),"
Yew Wand,PHB,none,spellcasting focus,,,1 lb.,10 gp,A druid can use this object as a spellcasting focus.
Yklwa,ToA,none,"weapon, simple weapon, melee weapon",,"1d8, piercing, - thrown (10/30 ft.)",3 lb.,1 gp,"A yklwa (pronounced YICK-ul-wah) is a simple melee weapon that is the traditional weapon of Chultan warriors. A yklwa consists of a 3-foot wooden shaft with a steel or stone blade up to 18 inches long. Although it has the thrown weapon property, the yklwa is not well balanced for throwing. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Zabou,ToA,none,adventuring gear,,,,10 gp,"Zabou mushrooms feed on offal and the rotting wood of dead trees. If handled carefully, a zabou can be picked or uprooted without causing it to release its spores. If crushed or struck, a zabou releases its spores in a 10-foot-radius sphere. A zabou can also be hurled up to 30 feet away or dropped like a grenade, releasing its cloud of spores on impact. Any creature in that area must succeed on a DC 10 Constitution saving throw or be poisoned for 1 minute. The poisoned creature's skin itches for the duration. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
