Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Black Bear,MM,Medium,beast,unaligned,11 (natural armor),19 (3d8 + 6),"40 ft., climb 30 ft.",15,10,14,2,12,7,,Perception +3,,,,,passive Perception 13,—,0.5, Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.",,,,,,,Forest
Ape,MM,Medium,beast,unaligned,12,19 (3d8 + 6),"30 ft., climb 30 ft.",16,14,14,6,12,7,,"Athletics +5, Perception +3",,,,,passive Perception 13,—,0.5,," Multiattack. The ape makes two fist attacks. Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Rock. Ranged Weapon Attack: +5 to hit, range 25/50 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.",,,,,,,Forest
Dryad,MM,Medium,fey,neutral,11 (16 with barkskin),22 (5d8),30 ft.,10,12,11,14,15,18,,"Perception +4, Stealth +5",,,,,"darkvision 60 ft., passive Perception 14","Elvish, Sylvan",1.0," Innate Spellcasting. The dryad's innate spellcasting ability is Charisma (spell save DC 14). The dryad can innately cast the following spells, requiring no material components:At will: druidcraft3/day each: entangle, goodberry1/day each: barkskin, pass without trace, shillelagh Magic Resistance. The dryad has advantage on saving throws against spells and other magical effects. Speak with Beasts and Plants. The dryad can communicate with beasts and plants as if they shared a language. Tree Stride. Once on her turn, the dryad can use 10 feet of her movement to step magically into one living tree within her reach and emerge from a second living tree within 60 feet of the first tree, appearing in an unoccupied space within 5 feet of the second tree. Both trees must be large or bigger."," Club. Melee Weapon Attack: +2 to hit (+6 to hit with shillelagh), reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage, or 8 (1d8 + 4) bludgeoning damage with shillelagh. Fey Charm. The dryad targets one humanoid or beast that she can see within 30 feet of her. If the target can see the dryad, it must succeed on a DC 14 Wisdom saving throw or be magically charmed. The charmed creature regards the dryad as a trusted friend to be heeded and protected. Although the target isn't under the dryad's control, it takes the dryad's requests or actions in the most favorable way it can.Each time the dryad or its allies do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the dryad dies, is on a different plane of existence from the target, or ends the effect as a bonus action. If a target's saving throw is successful, the target is immune to the dryad's Fey Charm for the next 24 hours.The dryad can have no more than one humanoid and up to three beasts charmed at a time.",,,,,,,Forest
Quickling,MPMM,Tiny,fey,chaotic evil,16,10 (3d4 + 3),120 ft.,4,23,13,10,12,7,,"Acrobatics +8, Perception +5, Sleight of Hand +8, Stealth +8",,,,,"darkvision 60 ft., passive Perception 15","Common, Sylvan",1.0," Blurred Movement. Attack rolls against the quickling have disadvantage unless it is incapacitated or its speed is 0. Evasion. If the quickling is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw and only half damage if it fails, provided it isn't incapacitated."," Multiattack. The quickling makes three Dagger attacks. Dagger. Melee or Ranged Weapon Attack: +8 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 8 (1d4 + 6) piercing damage.",,,,,,,Forest
Faerie Dragon (Yellow),MM,Tiny,dragon,chaotic good,15,14 (4d4 + 4),"10 ft., fly 60 ft.",3,20,13,14,12,16,,"Arcana +4, Perception +3, Stealth +7",,,,,"darkvision 60 ft., passive Perception 13","Draconic, Sylvan",1.0," Innate Spellcasting. The dragon's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast a number of spells, requiring no material components:1/day each: color spray, dancing lights, mage hand, minor illusion, mirror image Limited Telepathy. Using telepathy, the dragon can magically communicate with any other faerie dragon within 60 feet of it. Magic Resistance. The faerie dragon has advantage on saving throws against spells and other magical effects. Superior Invisibility. As a bonus action, the dragon can magically turn invisible until its concentration ends (as if concentrating on a spell). Any equipment the dragon wears or carries is invisible with it. The Colors of Age. A faerie dragon's scales change hue as it ages, moving through all the colors of the rainbow. All faerie dragons have innate spellcasting ability, gaining new spells as they mature.Red—5 years or lessOrange—6–10 yearsYellow—11–20 yearsGreen—21–30 yearsBlue—31–40 yearsIndigo—41–50 yearsViolet—51 years or moreA green or older faerie dragon's CR increases to 2."," Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 1 piercing damage. Euphoria Breath (Recharge 5–6). The dragon exhales a puff of euphoria gas at one creature within 5 feet of it. The target must succeed on a DC 11 Wisdom saving throw, or for 1 minute, the target can't take reactions and must roll a d6 at the start of each of its turns to determine its behavior during the turn:1–4. The target takes no action or bonus action and uses all of its movement to move in a random direction.5–6. The target doesn't move, and the only thing it can do on its turn is make a DC 11 Wisdom saving throw, ending the effect on itself on a success.",,,,,,,Forest
Vine Blight,MM,Medium,plant,neutral evil,12 (natural armor),26 (4d8 + 4),10 ft.,15,8,14,5,10,3,,Stealth +1,,,,"blinded, deafened","blindsight 60 ft. (blind beyond this radius), passive Perception 10",Common,0.5," False Appearance. While the blight remains motionless, it is indistinguishable from a tangle of vines."," Constrict. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 9 (2d6 + 2) bludgeoning damage, and a Large or smaller target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the blight can't constrict another target. Entangling Plants (Recharge 5–6). Grasping roots and vines sprout in a 15-foot radius centered on the blight, withering away after 1 minute. For the duration, that area is difficult terrain for nonplant creatures. In addition, each creature of the blight's choice in that area when the plants appear must succeed on a DC 12 Strength saving throw or become restrained. A creature can use its action to make a DC 12 Strength check, freeing itself or another entangled creature within reach on a success.",,,,,,,Forest
Giant Badger,MM,Medium,beast,unaligned,10,13 (2d8 + 4),"30 ft., burrow 10 ft.",13,10,15,2,12,5,,,,,,,"darkvision 30 ft., passive Perception 11",—,0.25, Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell.," Multiattack. The badger makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.",,,,,,,Forest
Faerie Dragon (Red),MM,Tiny,dragon,chaotic good,15,14 (4d4 + 4),"10 ft., fly 60 ft.",3,20,13,14,12,16,,"Arcana +4, Perception +3, Stealth +7",,,,,"darkvision 60 ft., passive Perception 13","Draconic, Sylvan",1.0," Innate Spellcasting. The dragon's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast a number of spells, requiring no material components:1/day each: dancing lights, mage hand, minor illusion Limited Telepathy. Using telepathy, the dragon can magically communicate with any other faerie dragon within 60 feet of it. Magic Resistance. The faerie dragon has advantage on saving throws against spells and other magical effects. Superior Invisibility. As a bonus action, the dragon can magically turn invisible until its concentration ends (as if concentrating on a spell). Any equipment the dragon wears or carries is invisible with it. The Colors of Age. A faerie dragon's scales change hue as it ages, moving through all the colors of the rainbow. All faerie dragons have innate spellcasting ability, gaining new spells as they mature.Red—5 years or lessOrange—6–10 yearsYellow—11–20 yearsGreen—21–30 yearsBlue—31–40 yearsIndigo—41–50 yearsViolet—51 years or moreA green or older faerie dragon's CR increases to 2."," Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 1 piercing damage. Euphoria Breath (Recharge 5–6). The dragon exhales a puff of euphoria gas at one creature within 5 feet of it. The target must succeed on a DC 11 Wisdom saving throw, or for 1 minute, the target can't take reactions and must roll a d6 at the start of each of its turns to determine its behavior during the turn:1–4. The target takes no action or bonus action and uses all of its movement to move in a random direction.5–6. The target doesn't move, and the only thing it can do on its turn is make a DC 11 Wisdom saving throw, ending the effect on itself on a success.",,,,,,,Forest
Faerie Dragon (Orange),MM,Tiny,dragon,chaotic good,15,14 (4d4 + 4),"10 ft., fly 60 ft.",3,20,13,14,12,16,,"Arcana +4, Perception +3, Stealth +7",,,,,"darkvision 60 ft., passive Perception 13","Draconic, Sylvan",1.0," Innate Spellcasting. The dragon's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast a number of spells, requiring no material components:1/day each: color spray, dancing lights, mage hand, minor illusion Limited Telepathy. Using telepathy, the dragon can magically communicate with any other faerie dragon within 60 feet of it. Magic Resistance. The faerie dragon has advantage on saving throws against spells and other magical effects. Superior Invisibility. As a bonus action, the dragon can magically turn invisible until its concentration ends (as if concentrating on a spell). Any equipment the dragon wears or carries is invisible with it. The Colors of Age. A faerie dragon's scales change hue as it ages, moving through all the colors of the rainbow. All faerie dragons have innate spellcasting ability, gaining new spells as they mature.Red—5 years or lessOrange—6–10 yearsYellow—11–20 yearsGreen—21–30 yearsBlue—31–40 yearsIndigo—41–50 yearsViolet—51 years or moreA green or older faerie dragon's CR increases to 2."," Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 1 piercing damage. Euphoria Breath (Recharge 5–6). The dragon exhales a puff of euphoria gas at one creature within 5 feet of it. The target must succeed on a DC 11 Wisdom saving throw, or for 1 minute, the target can't take reactions and must roll a d6 at the start of each of its turns to determine its behavior during the turn:1–4. The target takes no action or bonus action and uses all of its movement to move in a random direction.5–6. The target doesn't move, and the only thing it can do on its turn is make a DC 11 Wisdom saving throw, ending the effect on itself on a success.",,,,,,,Forest
Deer,MM,Medium,beast,unaligned,13,4 (1d8),50 ft.,11,16,11,2,14,5,,,,,,,passive Perception 12,—,0.0,," Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.",,,,,,,"Forest, Grassland"
Velociraptor,MPMM,Tiny,beast (dinosaur),unaligned,13 (natural armor),10 (3d4 + 3),30 ft.,6,14,13,4,12,6,,Perception +3,,,,,passive Perception 13,—,0.25, Pack Tactics. The velociraptor has advantage on an attack roll against a creature if at least one of the velociraptor's allies is within 5 feet of the creature and the ally isn't incapacitated.," Multiattack. The velociraptor makes one Bite attack and one Claw attack. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,,,"Forest, Grassland"
Tiger,MM,Large,beast,unaligned,12,37 (5d10 + 10),40 ft.,17,15,14,3,12,8,,"Perception +3, Stealth +6",,,,,"darkvision 60 ft., passive Perception 13",—,1.0," Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.",,,,,,,"Forest, Grassland"
Boar,MM,Medium,beast,unaligned,11 (natural armor),11 (2d8 + 2),40 ft.,13,11,12,2,9,5,,,,,,,passive Perception 9,—,0.25," Charge. If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. Relentless (Recharges after a Short or Long Rest). If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead."," Tusk. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.",,,,,,,"Forest, Grassland, Hill"
Elk,MM,Large,beast,unaligned,10,13 (2d10 + 2),50 ft.,16,10,12,2,10,6,,,,,,,passive Perception 10,—,0.25," Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.",,,,,,,"Forest, Grassland, Hill"
Giant Weasel,MM,Medium,beast,unaligned,13,9 (2d8),40 ft.,11,16,10,4,12,5,,"Perception +3, Stealth +5",,,,,"darkvision 60 ft., passive Perception 13",—,0.125, Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",,,,,,,"Forest, Grassland, Hill"
Panther,MM,Medium,beast,unaligned,12,13 (3d8),"50 ft., climb 40 ft.",14,15,10,3,14,7,,"Perception +4, Stealth +6",,,,,passive Perception 14,—,0.25," Keen Smell. The panther has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the panther moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the panther can make one bite attack against it as a bonus action."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,,,"Forest, Grassland, Hill"
Worg,MM,Large,monstrosity,neutral evil,13 (natural armor),26 (4d10 + 4),50 ft.,16,13,13,7,11,8,,Perception +4,,,,,"darkvision 60 ft., passive Perception 14","Goblin, Worg",0.5, Keen Hearing and Smell. The worg has advantage on Wisdom (Perception) checks that rely on hearing or smell.," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",,,,,,,"Forest, Grassland, Hill"
Deinonychus,MPMM,Medium,beast (dinosaur),unaligned,13 (natural armor),26 (4d8 + 8),40 ft.,15,15,14,4,12,6,,Perception +3,,,,,passive Perception 13,—,1.0," Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a Claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one Bite attack against it as a bonus action."," Multiattack. The deinonychus makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage. Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage.",,,,,,,"Forest, Grassland, Hill"
Wolf,MM,Medium,beast,unaligned,13 (natural armor),11 (2d8 + 2),40 ft.,12,15,12,3,12,6,,"Perception +3, Stealth +4",,,,,passive Perception 13,—,0.25, Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",,,,,,,"Forest, Grassland, Hill"
Clockwork Bronze Scout,MPMM,Medium,construct,unaligned,13,36 (8d8),"30 ft., burrow 30 ft.",10,16,11,3,14,1,,"Perception +6, Stealth +7",,,poison,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive Perception 16",understands one language of its creator but can't speak,1.0," Earth Armor. The clockwork doesn't provoke opportunity attacks when it burrows. Magic Resistance. The clockwork has advantage on saving throws against spells and other magical effects. Unusual Nature. The clockwork doesn't require air, food, drink, or sleep."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 3 (1d6) lightning damage. Lightning Flare (Recharges after a Short or Long Rest). Each creature in contact with the ground within 15 feet of the clockwork must make a DC 13 Dexterity saving throw, taking 14 (4d6) lightning damage on a failed save, or half as much damage on a successful one.",,,,,,,"Forest, Grassland, Hill, Mountain"
Orc Nurtured One of Yurtrus,VGM,Medium,humanoid (orc),chaotic evil,9,30 (4d8 + 12),30 ft.,15,8,16,7,11,7,,,,,,,"darkvision 60 ft., passive Perception 10","Common, Orc",0.5," Aggressive. As a bonus action, the orc can move up to its speed toward a hostile creature that it can see. Corrupted Carrier. When the orc is reduced to 0 hit points, it explodes, and any creature within 10 feet of it must make a DC 13 Constitution saving throw. On a failed save, the creature takes 14 (4d6) poison damage and becomes poisoned. On a success, the creature takes half as much damage and isn't poisoned. A creature poisoned by this effect can repeat the save at the end of each of its turn, ending the effect on itself on a success. While poisoned by this effect, a creature can't regain hit points. Nurtured One of Yurtrus. The orc has advantage on saving throws against poison and disease."," Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage plus 2 (1d4) necrotic damage. Corrupted Vengeance. The orc reduces itself to 0 hit points, triggering its Corrupted Carrier trait.",,,,,,,"Forest, Grassland, Hill, Mountain, Underdark"
Goblin Boss,MM,Small,humanoid (goblinoid),neutral evil,"17 (chain shirt, shield)",21 (6d6),30 ft.,10,14,10,10,8,10,,Stealth +6,,,,,"darkvision 60 ft., passive Perception 9","Common, Goblin",1.0, Nimble Escape. The goblin can take the Disengage or Hide action as a bonus action on each of its turns.," Multiattack. The goblin makes two attacks with its scimitar. The second attack has disadvantage. Scimitar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Javelin. Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 3 (1d6) piercing damage.",," Redirect Attack. When a creature the goblin can see targets it with an attack, the goblin chooses another goblin within 5 feet of it. The two goblins swap places, and the chosen goblin becomes the target instead.",,,,,"Forest, Grassland, Hill, Underdark"
Goblin,MM,Small,humanoid (goblinoid),neutral evil,"15 (leather armor, shield)",7 (2d6),30 ft.,8,14,10,10,8,8,,Stealth +6,,,,,"darkvision 60 ft., passive Perception 9","Common, Goblin",0.25, Nimble Escape. The goblin can take the Disengage or Hide action as a bonus action on each of its turns.," Scimitar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage. Shortbow. Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",,,,,,,"Forest, Grassland, Hill, Underdark"
Bugbear,MM,Medium,humanoid (goblinoid),chaotic evil,"16 (hide armor, shield)",27 (5d8 + 5),30 ft.,15,14,13,8,11,9,,"Stealth +6, Survival +2",,,,,"darkvision 60 ft., passive Perception 10","Common, Goblin",1.0," Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack). Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack."," Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage. Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.",,,,,,,"Forest, Grassland, Underdark"
Giant Wasp,MM,Medium,beast,unaligned,12,13 (3d8),"10 ft., fly 50 ft.",10,14,10,1,10,3,,,,,,,passive Perception 10,—,0.5,," Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",,,,,,,"Forest, Grassland, Urban"
Dire Wolf,MM,Large,beast,unaligned,14 (natural armor),37 (5d10 + 10),50 ft.,17,15,15,3,12,7,,"Perception +3, Stealth +4",,,,,passive Perception 13,—,1.0, Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",,,,,,,"Forest, Hill"
Baboon,MM,Small,beast,unaligned,12,3 (1d6),"30 ft., climb 30 ft.",8,14,11,4,12,6,,,,,,,passive Perception 11,—,0.0, Pack Tactics. The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 feet of the creature and the ally isn't incapacitated.," Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 1 (1d4 - 1) piercing damage.",,,,,,,"Forest, Hill"
Kobold Dragonshield,MPMM,Small,dragon,any alignment,"15 (leather, shield)",44 (8d6 + 16),20 ft.,12,15,14,8,9,10,,Perception +1,,see Dragon's Resistance below,,,"darkvision 60 ft., passive Perception 11","Common, Draconic",1.0," Dragon's Resistance. The kobold has resistance to a type of damage based on the color of dragon that invested it with power (choose or roll a d10): 1–2, acid (black or copper); 3–4, cold (silver or white); 5–6, fire (brass, gold, or red); 7–8, lightning (blue or bronze); 9–10, poison (green). Heart of the Dragon. If the kobold is frightened or paralyzed by an effect that allows a saving throw, it can repeat the save at the start of its turn to end the effect on itself and all kobolds within 30 feet of it. Any kobold that benefits from this trait (including the dragonshield) has advantage on its next attack roll. Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kobold makes two Spear attacks. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,"Forest, Hill, Mountain, Underdark"
Kobold Inventor,MPMM,Small,humanoid,any alignment,12,13 (3d6 + 3),30 ft.,7,15,12,14,10,8,,,,,,,"darkvision 60 ft., passive Perception 10","Common, Draconic",0.25," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage. Weapon Invention. The kobold uses one of the following options (choose one or roll a d8); the kobold can use each one no more than once per day:1: Acid. The kobold hurls a flask of acid. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 7 (2d6) acid damage.2: Alchemist's Fire. The kobold throws a flask of alchemist's fire. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 2 (1d4) fire damage at the start of each of the target's turns. The target can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.3: Basket of Centipedes. The kobold throws a small basket into a 5-foot-square space within 20 feet of it. A swarm of insects (centipedes) with 11 hit points emerges from the basket and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.4: Green Slime Pot. The kobold throws a clay pot full of green slime at the target, and it breaks open on impact. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 5 (1d10) acid damage, and the target is covered in slime until a creature uses its action to scrape or wash the slime off. A target covered in the slime takes 5 (1d10) acid damage at the start of each of its turns.5: Rot Grub Pot. The kobold throws a clay pot into a 5-foot-square space within 20 feet of it, and it breaks open on impact. A swarm of rot grubs (in this book) emerges from the shattered pot and remains a hazard in that square.6: Scorpion on a Stick. The kobold makes a melee attack with a scorpion tied to the end of a 5-foot-long pole. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.7: Skunk in a Cage. The kobold releases a skunk into an unoccupied space within 5 feet of it. The skunk has a walking speed of 20 feet, AC 10, 1 hit point, and no effective attacks. It rolls initiative and, on its turn, uses its action to spray musk at a random creature within 5 feet of it. The target must succeed on a DC 9 Constitution saving throw, or it retches and is incapacitated for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that doesn't need to breathe or is immune to poison automatically succeeds on the saving throw. Once the skunk has sprayed its musk, it can't do so again until it finishes a short or long rest.8: Wasp Nest in a Bag. The kobold throws a small bag into a 5-foot-square space within 20 feet of it. A swarm of insects (wasps) with 11 hit points emerges from the bag and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.",,,,,,,"Forest, Hill, Mountain, Underdark, Urban"
Kobold Scale Sorcerer,MPMM,Small,humanoid,any alignment,15 (natural armor),27 (5d6 + 10),30 ft.,7,15,14,10,9,14,,"Arcana +2, Medicine +1",,,,,"darkvision 60 ft., passive Perception 9","Common, Draconic",1.0," Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated. Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The kobold makes two Dagger or Chromatic Bolt attacks. It can replace one attack with a use of Spellcasting. Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Chromatic Bolt. Ranged Spell Attack: +4 to hit, range 60 feet, one target. Hit: 9 (2d6 + 2) of a type of the kobold's choice: acid, cold, fire, lightning, poison, or thunder. Spellcasting. The kobold casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 12):At will: mage hand, prestidigitation2/day each: charm person, fog cloud, levitate",,,,,,,"Forest, Hill, Mountain, Underdark, Urban"
Swarm of Ravens,MM,Medium,swarm of tiny beasts,unaligned,12,24 (7d8 - 7),"10 ft., fly 50 ft.",6,14,8,3,12,6,,Perception +5,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",passive Perception 15,—,0.25," Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points."," Beaks. Melee Weapon Attack: +4 to hit, reach 5 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.",,,,,,,"Forest, Hill, Swamp, Urban"
